frequency,magnitude
38775.0,8.166988677137454
38825.0,8.283225809878667
38875.0,8.240196028694701
38925.0,8.566975604185437
38975.0,7.98890698272378
39025.0,8.603098482618794
39075.0,8.128762028925813
39125.0,8.215866757864461
39175.0,8.205150617710768
39225.0,8.504166384698207
39275.0,8.23121745571559
39325.0,8.507391584372797
39375.0,8.470200748157836
39425.0,8.6827331503121
39475.0,8.604907454558091
39525.0,10.060385383018868
39575.0,9.334401804900523
39625.0,9.96482336742346
39675.0,10.588797979828467
39725.0,8.355812055087288
39775.0,11.215627610698466
39825.0,8.299766349843622
39875.0,9.003596005097911
39925.0,8.370236468320368
39975.0,9.274225369566942
40025.0,8.271217946140526
40075.0,8.521082413445347
40125.0,8.173773240931432
40175.0,8.46708498461211
40225.0,8.382765630892248
40275.0,8.589017360738367
40325.0,8.453179869110038
40375.0,8.478854385570303
40425.0,8.468762939997438
40475.0,8.512639416743362
40525.0,8.29813926612179
40575.0,8.935125511274624
40625.0,8.330669297126262
40675.0,9.106700240192572
40725.0,8.400963028860497
40775.0,8.623708306784994
40825.0,8.480069033719719
40875.0,8.50626229353287
40925.0,8.32739449493184
40975.0,8.31249455966396
41025.0,8.539041974912404
41075.0,8.522817023731935
41125.0,8.432294280233013
41175.0,8.740979360505605
41225.0,8.536990839526428
41275.0,8.35206430695493
41325.0,8.343011934560568
41375.0,8.388546700364715
41425.0,8.469450946475835
41475.0,8.661694814575672
41525.0,8.41086784093537
41575.0,8.469202378134675
41625.0,8.43812849725461
41675.0,8.397571489525497
41725.0,8.30391073402739
41775.0,8.344438975623145
41825.0,8.42369590980122
41875.0,8.349179170222197
41925.0,8.412007696652603
41975.0,8.4167279172141
42025.0,8.510467385712909
42075.0,8.54597548486809
42125.0,8.313368766511722
42175.0,8.559589930101804
42225.0,8.404777155960645
42275.0,8.280914151330432
42325.0,8.405212953848743
42375.0,8.654018194352044
42425.0,8.539787904625506
42475.0,8.494159404039317
42525.0,8.584845940187627
42575.0,8.59564878948214
42625.0,8.680255286237973
42675.0,8.565173085533285
42725.0,8.670692545442142
42775.0,8.679288154202727
42825.0,8.599035432255086
42875.0,8.92092797895959
42925.0,8.599587280740202
42975.0,8.794277670143307
43025.0,8.663270893474273
43075.0,8.622331322287684
43125.0,8.645604950122513
43175.0,8.59676734162441
43225.0,8.561982689706623
43275.0,8.589906026890166
43325.0,8.57049817660723
43375.0,8.634490146892077
43425.0,8.86113597082866
43475.0,8.519763161543192
43525.0,8.858226667703807
43575.0,8.672720197217927
43625.0,8.649009148292972
43675.0,8.599428452781744
43725.0,8.594247210911973
43775.0,8.652568408677316
43825.0,8.742419629067095
43875.0,8.668661707509191
43925.0,8.605865397516286
43975.0,8.63003739435879
44025.0,8.598189968782084
44075.0,8.737131794040469
44125.0,8.728048764788715
44175.0,8.800076005664556
44225.0,8.663210497941904
44275.0,8.855478813263506
44325.0,8.720231159569217
44375.0,8.717206344809929
44425.0,8.809622312618469
44475.0,8.832864550541691
44525.0,8.761984200351241
44575.0,8.840632329199604
44625.0,8.86713547644904
44675.0,8.851629536304301
44725.0,8.74345461773332
44775.0,8.948438158058998
44825.0,8.887979989448187
44875.0,8.973266929730304
44925.0,8.940321928070656
44975.0,8.906656264639302
45025.0,8.826633441380721
45075.0,8.84085849300061
45125.0,8.966455806781983
45175.0,8.971853211493624
45225.0,8.967460398623636
45275.0,8.995759083547803
45325.0,8.924207174736889
45375.0,8.789027813239235
45425.0,8.94814401131061
45475.0,8.918604837915282
45525.0,8.959118391688042
45575.0,8.992735740309037
45625.0,8.95840121245048
45675.0,8.977878933089054
45725.0,8.872740936454552
45775.0,9.018572054641064
45825.0,8.85582709043944
45875.0,9.010847961422543
45925.0,9.161387400967936
45975.0,8.958938156368696
46025.0,9.041194261838935
46075.0,9.142911953080588
46125.0,9.021287217728892
46175.0,9.156152266114447
46225.0,9.134024533759437
46275.0,9.193418495950777
46325.0,9.113260834620924
46375.0,9.043959914198307
46425.0,9.112506957273325
46475.0,9.05336545691963
46525.0,8.967317810804408
46575.0,9.239563079978927
46625.0,9.083015592773059
46675.0,9.287630015508133
46725.0,9.120786313781576
46775.0,9.23331184608737
46825.0,9.085528675105685
46875.0,9.141313185307531
46925.0,8.960974121162378
46975.0,9.039739685895888
47025.0,9.212938936503894
47075.0,9.199015835284582
47125.0,9.15045048808878
47175.0,9.250948742707013
47225.0,9.31778361316427
47275.0,9.433716523722342
47325.0,9.166555497862198
